id,sender url
nby_LL12665,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL12665&p=0
nby_LL4803,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL4803&p=0
nby_LL7708,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL7708&p=0
nby_1BH39,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH39&p=1
nby_1BH849,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH849&p=1
nby_0BH112,http://publications.newberry.org/postcard-sender/index.php?id=nby_0BH112&p=1
nby_LL3217,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL3217&p=0
nby_3BH521,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH521&p=1
nby_2B242,http://publications.newberry.org/postcard-sender/index.php?id=nby_2B242&p=1
nby_LL12726,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL12726&p=0
nby_1BH1997,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH1997&p=1
nby_LL12242,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL12242&p=0
nby_LL3753,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL3753&p=0
nby_RT2441,http://publications.newberry.org/postcard-sender/index.php?id=nby_RT2441&p=1
nby_3BH85,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH85&p=1
nby_3BH641,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH641&p=1
nby_3BH721,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH721&p=1
nby_3BH307,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH307&p=0
nby_0BH1411,http://publications.newberry.org/postcard-sender/index.php?id=nby_0BH1411&p=1
nby_0BH1180,http://publications.newberry.org/postcard-sender/index.php?id=nby_0BH1180&p=1
nby_4BH653,http://publications.newberry.org/postcard-sender/index.php?id=nby_4BH653&p=1
nby_4B59,http://publications.newberry.org/postcard-sender/index.php?id=nby_4B59&p=0
nby_4BH1555,http://publications.newberry.org/postcard-sender/index.php?id=nby_4BH1555&p=1
nby_4BH1316,http://publications.newberry.org/postcard-sender/index.php?id=nby_4BH1316&p=1
nby_4BH239,http://publications.newberry.org/postcard-sender/index.php?id=nby_4BH239&p=1
nby_1BH1886,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH1886&p=1
nby_LL11181,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL11181&p=0
nby_LL10982,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL10982&p=0
nby_LL11535,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL11535&p=0
nby_3B66,http://publications.newberry.org/postcard-sender/index.php?id=nby_3B66&p=1
nby_2BH809,http://publications.newberry.org/postcard-sender/index.php?id=nby_2BH809&p=1
nby_3B119,http://publications.newberry.org/postcard-sender/index.php?id=nby_3B119&p=1
nby_2BH896,http://publications.newberry.org/postcard-sender/index.php?id=nby_2BH896&p=1
nby_3BH1567,http://publications.newberry.org/postcard-sender/index.php?id=nby_3BH1567&p=1
nby_LL12362,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL12362&p=0
nby_LL13022,http://publications.newberry.org/postcard-sender/index.php?id=nby_LL13022&p=0
nby_1BH2404,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH2404&p=1
nby_1BH2676,http://publications.newberry.org/postcard-sender/index.php?id=nby_1BH2676&p=1
